cancelweek	signupcount_zerosreplaced	cancelcount	Activeusers
0	10955	1089	9866
1	10398	2790	17474
2	10960	4125	24309
3	13621	4932	32998
4	7310	6039	34269
5	0	4284	29985
6	0	2576	27409
7	0	2113	25296
8	0	1752	23544
9	0	1341	22203
10	0	1190	21013
11	0	903	20110
12	0	773	19337
13	0	1260	18077
14	0	1204	16873
15	0	732	16141
16	0	635	15506
17	0	629	14877
18	0	509	14368
19	0	413	13955
20	0	469	13486
21	0	420	13066
22	0	376	12690
23	0	316	12374
24	0	348	12026
25	0	205	11821
26	0	291	11530
27	0	240	11290
28	0	247	11043
29	0	229	10814
30	0	195	10619
31	0	236	10383
32	0	223	10160
33	0	199	9961
34	0	222	9739
35	0	217	9522
36	0	224	9298
37	0	182	9116
38	0	196	8920
39	0	185	8735
40	0	156	8579
41	0	170	8409
42	0	185	8224
43	0	166	8058
44	0	135	7923
45	0	139	7784
46	0	118	7666
47	0	167	7499
48	0	147	7352
49	0	28	7324
